Study Name,Dataset,Release,N,Task,Task info,Preprocessing details,Scan duration,Measure,Measure info,Preprocessing citations 
abcd_fc_r_REST_cbcl_scr_syn_internal_t_FU1,abcd,v2,7899,REST,Eyes open. Participants were instructed to relax while maintaining passive visual fixation on a crosshair presented centrally on screen (Casey et al. 2018).,,,cbcl_scr_syn_internal_t_FU1,Internal CBCL Syndrome Scale (t-score),
abcd_fc_r_REST_cbcl_scr_syn_internal_t,abcd,v2,8362,REST,Eyes open. Participants were instructed to relax while maintaining passive visual fixation on a crosshair presented centrally on screen (Casey et al. 2018).,,,cbcl_scr_syn_internal_t,Internal CBCL Syndrome Scale (t-score),
abcd_fc_r_REST_cbcl_scr_syn_rulebreak_t_FU1,abcd,v2,7899,REST,Eyes open. Participants were instructed to relax while maintaining passive visual fixation on a crosshair presented centrally on screen (Casey et al. 2018).,,,cbcl_scr_syn_rulebreak_t_FU1,RuleBreak CBCL Syndrome Scale (t-score),
abcd_fc_r_REST_cbcl_scr_syn_rulebreak_t,abcd,v2,8362,REST,Eyes open. Participants were instructed to relax while maintaining passive visual fixation on a crosshair presented centrally on screen (Casey et al. 2018).,,,cbcl_scr_syn_rulebreak_t,RuleBreak CBCL Syndrome Scale (t-score),
abcd_fc_r_REST_cbcl_scr_syn_social_t_FU1,abcd,v2,7899,REST,Eyes open. Participants were instructed to relax while maintaining passive visual fixation on a crosshair presented centrally on screen (Casey et al. 2018).,,,cbcl_scr_syn_social_t_FU1,Social CBCL Syndrome Scale (t-score) at follow-up 1,
abcd_fc_r_REST_cbcl_scr_syn_somatic_t_FU1,abcd,v2,7899,REST,Eyes open. Participants were instructed to relax while maintaining passive visual fixation on a crosshair presented centrally on screen (Casey et al. 2018).,,,cbcl_scr_syn_somatic_t_FU1,Somatic CBCL Syndrome Scale (t-score),
abcd_fc_r_REST_cbcl_scr_syn_thought_t_FU1,abcd,v2,7899,REST,Eyes open. Participants were instructed to relax while maintaining passive visual fixation on a crosshair presented centrally on screen (Casey et al. 2018).,,,cbcl_scr_syn_thought_t_FU1,Thought CBCL Syndrome Scale (t-score),
abcd_fc_r_REST_cbcl_scr_syn_thought_t,abcd,v2,8362,REST,Eyes open. Participants were instructed to relax while maintaining passive visual fixation on a crosshair presented centrally on screen (Casey et al. 2018).,,,cbcl_scr_syn_thought_t,Thought CBCL Syndrome Scale (t-score),
abcd_fc_r_REST_cbcl_scr_syn_withdep_t_FU1,abcd,v2,7899,REST,Eyes open. Participants were instructed to relax while maintaining passive visual fixation on a crosshair presented centrally on screen (Casey et al. 2018).,,,cbcl_scr_syn_withdep_t_FU1,WithDep CBCL Syndrome Scale (t-score),
abcd_fc_r_REST_nihtbx_fluidcomp_fc,abcd,v2,7713,REST,Eyes open. Participants were instructed to relax while maintaining passive visual fixation on a crosshair presented centrally on screen (Casey et al. 2018).,,,nihtbx_fluidcomp_fc,Cognition Fluid Composite Fully-Corrected T-score,
abcd_fc_r_rest_pea_wiscv_tss,abcd,v2,7628,rest,Eyes open. Participants were instructed to relax while maintaining passive visual fixation on a crosshair presented centrally on screen (Casey et al. 2018).,,,pea_wiscv_tss,WISC-V Matrix Reasoning Total Scaled Score,
abcd_fc_t_MID_REST,abcd,v2,7496,MID,"Participants view incentive cues indicating potential monetary outcomes (Win $0.20, Win $5.00, Lose $0.20, Lose $5.00, or neutral $0), followed by a variable delay period, then a brief target stimulus (150-500ms) requiring a speeded button press response. Must always respond regardless of trial type with fast responses on win trials to earn money, fast responses on loss trials to avoid losing money, while slow responses result in no monetary gain or loss of money, respectively. Task difficulty adjusted to maintain approximately 60% success rate across all participants (Casey et al. 2018).",,Previous 20 min rest scan and 5:42 min task scan (Casey et al. 2018).,,,
abcd_fc_t_nBack_REST,abcd,v2,7360,nBack,"The Emotional N-back (EN-back) task is a working memory paradigm that measures both cognitive control and emotion regulation. The task consists of two runs with eight blocks each, where participants view sequences of happy faces, fearful faces, neutral faces, and places for 2 seconds per stimulus, followed by 500ms fixation periods. In the 0-back condition (low memory load), participants respond ""match"" when the current stimulus matches a target image shown at the beginning of the block, essentially testing simple recognition. In the 2-back condition (high memory load), participants must respond ""match"" when the current stimulus is identical to the one presented two trials earlier. Each block contains 10 trials with 2 targets, 2-3 non-target lures, and several non-lures, totaling 160 trials across both runs with 80 trials per memory condition and 40 trials per stimulus type (Casey et al. 2018). ",,Previous 20 min rest scan and 8.67 minutes task scan (Casey et al. 2018).,,,
abcd_fc_t_SST_REST,abcd,v2,7417,SST,"Participants respond to directional arrows (left/right) as quickly as possible on ""Go"" trials, but must withhold their response when an unpredictable ""Stop"" signal (upward arrow) appears. Each of 2 runs contains 180 trials (150 Go trials, 30 Stop trials) with each trial lasting 1000ms. A tracking algorithm adjusts the Stop Signal Delay (SSD) to maintain approximately 50% successful inhibitions. SSD decreases time by 50ms after failed stops (easier) and increases by 50ms after successful stops (harder). Each run lasts 349 seconds total. Primary contrasts examine successful stop vs. go trials and failed stop vs. successful stop trials, measuring impulse control and impulsivity (Casey et al. 2018).",,Previous 20 min rest scan and 11:38 minutes task scan (Casey et al. 2018).,,,
abcd_fc_t2_REST_sex,abcd,v2,8363,REST,Eyes open. Participants were instructed to relax while maintaining passive visual fixation on a crosshair presented centrally on screen (Casey et al. 2018).,,,sex,,
hbn_fc_r_rest_nih_card,hbn,1.1,449,REST,"Exact quote: The participant was presented a white fixation cross in the center of a black screen and instructed to rest with eyes open. Specific instructions were as follows: “Please lie quietly with your eyes open, and direct your gaze towards the plus symbol. During this scan let your mind wander. If you notice yourself focusing on a particular stream of thoughts, let your mind wander away.” (O'Connor et al. 2017)",,Initially 10 minutes resting state scan eventually broken into two 5 minute scans (Alexander et al. 2017),card,Dimensional Change Card Sort Age 3+ Age-adjusted Scale Score,
hbn_fc_r_rest_nih_flanker,hbn,1.1,449,REST,"Exact quote: The participant was presented a white fixation cross in the center of a black screen and instructed to rest with eyes open. Specific instructions were as follows: “Please lie quietly with your eyes open, and direct your gaze towards the plus symbol. During this scan let your mind wander. If you notice yourself focusing on a particular stream of thoughts, let your mind wander away.” (O'Connor et al. 2017)",,,flanker,Flanker Inhibitory Control and Attention Age 3+ Age-adjusted Score,
hbn_fc_r_rest_nih_list,hbn,1.1,449,REST,"Exact quote: The participant was presented a white fixation cross in the center of a black screen and instructed to rest with eyes open. Specific instructions were as follows: “Please lie quietly with your eyes open, and direct your gaze towards the plus symbol. During this scan let your mind wander. If you notice yourself focusing on a particular stream of thoughts, let your mind wander away.” (O'Connor et al. 2017)",,,list,List Sorting Working Memory Age 7+ Age-adjusted Score,
hbn_fc_r_rest_nih_process,hbn,1.1,449,REST,"Exact quote: The participant was presented a white fixation cross in the center of a black screen and instructed to rest with eyes open. Specific instructions were as follows: “Please lie quietly with your eyes open, and direct your gaze towards the plus symbol. During this scan let your mind wander. If you notice yourself focusing on a particular stream of thoughts, let your mind wander away.” (O'Connor et al. 2017)",,,process,Pattern Comparison Process Speed 7+ Age-adjusted Score,
hbn_fc_r_rest_srs_srs,hbn,2.1,641,REST,"Exact quote: The participant was presented a white fixation cross in the center of a black screen and instructed to rest with eyes open. Specific instructions were as follows: “Please lie quietly with your eyes open, and direct your gaze towards the plus symbol. During this scan let your mind wander. If you notice yourself focusing on a particular stream of thoughts, let your mind wander away.” (O'Connor et al. 2017)",,,srs,Social Responsiveness Scale,
hbn_fc_t2_rest_diag_diag,hbn,1.1,445,REST,"Exact quote: The participant was presented a white fixation cross in the center of a black screen and instructed to rest with eyes open. Specific instructions were as follows: “Please lie quietly with your eyes open, and direct your gaze towards the plus symbol. During this scan let your mind wander. If you notice yourself focusing on a particular stream of thoughts, let your mind wander away.” (O'Connor et al. 2017)",,,diag,Diagnosis,
hcp_act_t_EMOTION,hcp,500 Subjects Release ,314,EMOTION,"Subjects must decide which of two faces, with either fearful or angry expressions, presented on the bottom of the screen, matches the face at the top of the screen, or which of two shapes presented at the bottom of the screen matches the shape at the top of the screen. The primary contrast is comparing activation during face-matching blocks versus shape-matching blocks.","Starting with the minimally preprocessed HCP data, further preprocessing steps were performed using BioImage Suite. The data were also iteratively smoothed to a 2.5mm Gaussian kernel equivalent. For all datasets, further preprocessing was performed using BioImage Suite. These steps included regressing 24 motion parameters, regressing the mean white matter, gray matter, and CSF time series, removing linear and quadratic trends, and applying a low-pass Gaussian filter (cutoff frequency ~0.12 Hz for HCP) (Rodriguez et al., 2024) ","Each run contains 6 blocks (3 face + 3 shape) at 21 seconds per block plus 8 seconds of final fixation, totaling 134 seconds (~2.2 minutes) per run, with 2 runs making the entire task approximately 4.5 minutes long.",NA,,Connectome caricatures: removing large-amplitude co-activation patterns in resting-state fMRI emphasizes individual differences
hcp_act_t_GAMBLING,hcp,500 Subjects Release,324,GAMBLING,"Participants play a card guessing game where they predict whether a mystery card number (1-9) is higher or lower than 5, receiving feedback in the form of monetary rewards (green arrow, +$1), losses (red arrow, -$0.50), or neutral outcomes (gray arrow, number 5). Each trial consists of a decision phase (up to 1500 ms), feedback (1000 ms), and fixation (1000 ms). The contrast is between biased toward either mostly rewards (6 reward trials with 2 others) or mostly losses (6 loss trials with 2 others). Each of two runs contains 2 reward blocks, 2 loss blocks, and 4 fixation blocks (15 seconds each).",,"Each run contains 4 task blocks (8 trials each at 3.5 seconds per trial) plus 4 fixation blocks (15 seconds each), totaling approximately 2.9 minutes per run, with 2 runs making the entire gambling task about 5.8 minutes long.",NA,,
hcp_act_t_RELATIONAL,hcp,500 Subjects Release,314,RELATIONAL,"Participants view shapes with different textures and perform two types of tasks: identifying whether two pairs of objects differ along shape or texture, and determining if a bottom object matches top objects on a specified shape or texture indicated by a word cue. The relational condition uses 4 trials per block (3500 ms stimulus, 500 ms ITI) while the matching condition uses 5 trials per block (2800 ms stimulus, 400 ms ITI), with both block types lasting 18 seconds total. The primary contrast is relational vs matching isolating brain regions involved in higher-order relational reasoning versus simple perceptual matching.",,"Each run contains 6 task blocks (18 seconds each) plus 3 fixation blocks (16 seconds each), totaling approximately 2.6 minutes per run, with 2 runs making the entire relational processing task about 5.2 minutes long.",NA,,
hcp_act_t_SOCIAL,hcp,500 Subjects Release,317,SOCIAL,"Subjects are presented with short video clips of squares, circles, and triangles that either interacted in some way or moved randomly on the screen. Subjects must then judge whether the objects had an interaction that appears as if the shapes are taking into account each other’s feelings and thoughts, if they are not sure, or if there is no obvious interaction between the shapes and the movement appears random. The primary contrast here is distinguishing between random interactions or mental interactions.",,"Each run contains 5 video blocks (20 seconds each) plus 5 fixation blocks (15 seconds each), totaling approximately 2.9 minutes per run, with 2 runs making the entire social cognition task about 5.8 minutes long.",NA,,
hcp_act_t_WM,hcp,500 Subjects Release,324,WM,"Subjects view images from four categories (faces, places, tools, body parts) while performing either a low-demand task, where they match the current image to a cue (0-back task), or a high-demand task where they must indicate if a current image matches the one from 2 trials ago (2-back). The primary contrasts compare working memory load 2-back vs 0-back and category-specific processing (faces, places, tools, bodies), allowing examination of both working memory networks and category-selective brain regions.",,"Each run contains 8 task blocks (25 seconds each) plus 4 fixation blocks (15 seconds each), totaling approximately 4.3 minutes per run, with 2 runs making the entire working memory task about 8.6 minutes long.",NA,,
hcp_fc_r_REST_PMAT24_A_CR,hcp,1200 Subjects Release,1060,REST,Eyes open with relaxed fixation on bright crosshair against dark background in darkened room. Phase encoding alternated between right-to-left (RL) and left-to-right (LR) within sessions.,,2 sessions with 2 runs each session with 15 minutes per run. Total of 60 minutes ,PMAT24_A_CR,Fluid Intelligence (Penn Progressive Matrices): number of correct responses,
hcp_fc_r_REST_ProcSpeed_AgeAdj,hcp,1200 Subjects Release,1067,REST,Eyes open with relaxed fixation on bright crosshair against dark background in darkened room. Phase encoding alternated between right-to-left (RL) and left-to-right (LR) within sessions.,,,ProcSpeed_AgeAdj,Processing Speed (Pattern Completion Processing Speed): age adjusted scale score,
hcp_fc_t_REST_EMOTION,hcp,1200 Subjects Release,1023,REST,Eyes open with relaxed fixation on bright crosshair against dark background in darkened room. Phase encoding alternated between right-to-left (RL) and left-to-right (LR) within sessions.,,,EMOTION,HCP Emotion task,
hcp_fc_t_REST_GAMBLING,hcp,1200 Subjects Release,1058,REST,Eyes open with relaxed fixation on bright crosshair against dark background in darkened room. Phase encoding alternated between right-to-left (RL) and left-to-right (LR) within sessions.,,,GAMBLING,HCP Gambling task,
hcp_fc_t_REST_RELATIONAL,hcp,1200 Subjects Release,1017,REST,Eyes open with relaxed fixation on bright crosshair against dark background in darkened room. Phase encoding alternated between right-to-left (RL) and left-to-right (LR) within sessions.,,,RELATIONAL,HCP Relational task,
hcp_fc_t_REST_SOCIAL,hcp,1200 Subjects Release,1028,REST,Eyes open with relaxed fixation on bright crosshair against dark background in darkened room. Phase encoding alternated between right-to-left (RL) and left-to-right (LR) within sessions.,,,SOCIAL,HCP Social task,
hcp_fc_t_REST_WM,hcp,1200 Subjects Release,1059,REST,Eyes open with relaxed fixation on bright crosshair against dark background in darkened room. Phase encoding alternated between right-to-left (RL) and left-to-right (LR) within sessions.,,,WM,HCP Working memory task,
hcp_fc_t2_REST_Gender,hcp,1200 Subjects Release,1067,REST,Eyes open with relaxed fixation on bright crosshair against dark background in darkened room. Phase encoding alternated between right-to-left (RL) and left-to-right (LR) within sessions.,,,Gender,,
pnc_fc_r_REST_ADD011,pnc,January 2014,1248,REST,"Exact quote: ""During the resting-state scan, a fixation cross was displayed as images were acquired. Subjects were instructed to stay awake, keep their eyes open, fixate on the displayed crosshair, and remain still.""",,6.18 minutes,ADD011,"Attention Deficit Disorder: Did you often have trouble paying attention or keeping your mind on your school, work, chores, or other activities that you were doing?",
pnc_fc_r_REST_DEP001,pnc,January 2014,1251,REST,"Exact quote: ""During the resting-state scan, a fixation cross was displayed as images were acquired. Subjects were instructed to stay awake, keep their eyes open, fixate on the displayed crosshair, and remain still.""",,,DEP001,Depression: Has there ever been a time when you felt sad or depressed most of the time?,
pnc_fc_r_REST_EAT001,pnc,January 2014,1248,REST,"Exact quote: ""During the resting-state scan, a fixation cross was displayed as images were acquired. Subjects were instructed to stay awake, keep their eyes open, fixate on the displayed crosshair, and remain still.""",,,EAT001,"Eating Disorder: Was there ever a time when you felt really fat or heavy, but other people said that you were too thin?",
pnc_fc_r_REST_GAD001,pnc,January 2014,1248,REST,"Exact quote: ""During the resting-state scan, a fixation cross was displayed as images were acquired. Subjects were instructed to stay awake, keep their eyes open, fixate on the displayed crosshair, and remain still.""",,,GAD001,Generalized Anxiety Disorder: Have you ever been a worrier?,
pnc_fc_r_REST_MAN001,pnc,January 2014,1262,REST,"Exact quote: ""During the resting-state scan, a fixation cross was displayed as images were acquired. Subjects were instructed to stay awake, keep their eyes open, fixate on the displayed crosshair, and remain still.""",,,MAN001,"Mania/ Hypomania: Have there been times when you were much more active, excited or energetic than usual, had problems sitting still, or needed to move around a lot?",
pnc_fc_r_REST_OCD018,pnc,January 2014,1262,REST,"Exact quote: ""During the resting-state scan, a fixation cross was displayed as images were acquired. Subjects were instructed to stay awake, keep their eyes open, fixate on the displayed crosshair, and remain still.""",,,OCD018,Obsessive Compulsive Disorder: Have you ever saved up so many things that people complained or they got in the way?,
pnc_fc_r_REST_PAN001,pnc,January 2014,1252,REST,"Exact quote: ""During the resting-state scan, a fixation cross was displayed as images were acquired. Subjects were instructed to stay awake, keep their eyes open, fixate on the displayed crosshair, and remain still.""",,,PAN001,Panic Disorder: Have you ever had an attack like this?,
pnc_fc_r_REST_PSY001,pnc,January 2014,1246,REST,"Exact quote: ""During the resting-state scan, a fixation cross was displayed as images were acquired. Subjects were instructed to stay awake, keep their eyes open, fixate on the displayed crosshair, and remain still.""",,,PSY001,Psychosis: Have you ever heard voices when no one was there?,
pnc_fc_r_REST_SIP003,pnc,January 2014,1247,REST,"Exact quote: ""During the resting-state scan, a fixation cross was displayed as images were acquired. Subjects were instructed to stay awake, keep their eyes open, fixate on the displayed crosshair, and remain still.""",,,SIP003,SIPS - PRIME SCREEN-REVISED: I think that I have felt that there are odd or unusual things going on that I can't explain.,
pnc_fc_t2_REST_Sex,pnc,January 2014,1267,REST,"Exact quote: ""During the resting-state scan, a fixation cross was displayed as images were acquired. Subjects were instructed to stay awake, keep their eyes open, fixate on the displayed crosshair, and remain still.""",,,Sex,"Sex of participant. 0: unknown, 1: female, 2: male",
slim_fc_r_REST_State_Anxiety,slim,February 2017,473,REST,"Exact quote: ""During the resting-state MRI scan, the subjects were instructed to lie down, close their eyes, and rest without thinking about any specific thing but to refrain from falling asleep.""",,8 minutes,State_Anxiety,State anxiety measured with the State Trait Anxiety Inventory (STAI),
slim_fc_t2_REST_Sex,slim,February 2017,544,REST,"Exact quote: ""During the resting-state MRI scan, the subjects were instructed to lie down, close their eyes, and rest without thinking about any specific thing but to refrain from falling asleep.""",,,Sex,Participant sex,
ukb_fc_r_rest_age,ukb,October 2023,40925,rest,"Exact quote: ""Subjects are instructed to keep their eyes fixated on a crosshair, relax and “think of nothing in particular”","Data preprocessing was carried out using FSL. Briefly, this included motion correction using MCFLIRT, grand mean intensity normalization, high-pass temporal filtering, echo-planar image unwarping, gradient distortion correction unwarping, and removal of structured artefacts via ICA + FIX.
",6:10 minutes (on sup table 1),age,Age in years,
ukb_fc_r_rest_fluid_intelligence,ukb,October 2023,37730,rest,"Exact quote: ""Subjects are instructed to keep their eyes fixated on a crosshair, relax and “think of nothing in particular”",(above),,fluid_intelligence,Fluid intelligence [Field ID: 20016]: verbal and numerical reasoning multiple-choice questions answered correctly in two minutes (total=13).,
ukb_fc_t2_rest_gender,ukb,October 2023,40925,rest,"Exact quote: ""Subjects are instructed to keep their eyes fixated on a crosshair, relax and “think of nothing in particular”",(above),,gender,,
